,COMPNOS,INCIDENT_TYPE_DESCRIPTION,REPORTINGAREA,FROMDATE,Year,Month,DAY_WEEK,X,Y,STREETNAME,Location
37,120422849.0,AUTO THEFT,233,07/08/2012 12:00:00 PM,2012,7,Sunday,779941.0237,2946403.889,E 7TH ST,"(42.33217135, -71.04223957)"
39,120419586.0,DRUG CHARGES,200,07/08/2012 12:15:00 PM,2012,7,Sunday,776551.5679,2949714.607,W BROADWAY,"(42.34130529, -71.0547108)"
40,120427046.0,OTHER LARCENY,363,07/08/2012 12:22:00 PM,2012,7,Sunday,775063.1785,2932477.2180000003,CENTRE ST,"(42.29402635, -71.06054456)"
41,120419578.0,VAL,83,07/08/2012 12:24:00 PM,2012,7,Sunday,776993.0581,2958600.3239999996,HANOVER ST,"(42.36568154, -71.05290553)"
42,120419589.0,MedAssist,249,07/08/2012 12:27:00 PM,2012,7,Sunday,776423.5813,2940100.747,AUCKLAND ST,"(42.31492635, -71.05536956)"
43,120420276.0,PropLost,151,07/08/2012 12:30:00 PM,2012,7,Sunday,772273.0459,2951416.795,BERKELEY ST,"(42.34603634, -71.07050456)"
44,120419595.0,Arrest,363,07/08/2012 12:30:00 PM,2012,7,Sunday,775305.3515,2932210.6160000004,WHITTEN ST,"(42.29329136, -71.05965457)"
45,120419761.0,VANDALISM,248,07/08/2012 12:30:00 PM,2012,7,Sunday,776328.5204,2939657.475,AUCKLAND ST,"(42.31371136, -71.05572957)"
46,120419607.0,AGGRAVATED ASSAULT,214,07/08/2012 12:36:00 PM,2012,7,Sunday,778722.6466,2947847.002,W BROADWAY,"(42.33614915, -71.0467171)"
47,120419614.0,MVAcc,24,07/08/2012 12:41:00 PM,2012,7,Sunday,780934.5086,2963675.903,MARION ST,"(42.37955134, -71.03821957)"
48,120419723.0,CRIMES AGAINST CHILDREN,0,07/08/2012 12:57:00 PM,2012,7,Sunday,774104.1328,2943918.604,ALLSTATE RD,"(42.32543556, -71.06387302)"
49,120420355.0,InvPer,329,07/08/2012 01:00:00 PM,2012,7,Sunday,770832.9737,2937381.0039999997,COLUMBIA RD,"(42.30754136, -71.07608956)"
50,120419648.0,SIMPLE ASSAULT,384,07/08/2012 01:00:00 PM,2012,7,Sunday,778981.0368,2928881.854,GALLIVAN BL,"(42.28410417, -71.04613468)"
51,120419811.0,InvProp,303,07/08/2012 01:00:00 PM,2012,7,Sunday,764671.0201,2941108.421,BANCROFT ST,"(42.31785135, -71.09880455)"
52,120419658.0,PhoneCalls,622,07/08/2012 01:17:00 PM,2012,7,Sunday,765525.5483,2952537.22,BEACON ST,"(42.34920135, -71.09544455)"
53,120419550.0,Arrest,484,07/08/2012 01:27:00 PM,2012,7,Sunday,763578.2142,2920504.309,HOPEWELL RD,"(42.26132637, -71.10319956)"
54,120420398.0,OTHER LARCENY,116,07/08/2012 01:30:00 PM,2012,7,Sunday,774911.8589,2953190.422,TYLER ST,"(42.35086634, -71.06070956)"
55,120421498.0,OTHER LARCENY,481,07/08/2012 01:30:00 PM,2012,7,Sunday,764676.6933,2922974.147,HOLLINGSWORTH ST,"(42.2680897, -71.09909872)"
56,120419712.0,LARCENY FROM MOTOR VEHICLE,256,07/08/2012 01:40:00 PM,2012,7,Sunday,773992.0628,2933743.565,PARK ST,"(42.29751636, -71.06447956)"
57,120419715.0,SIMPLE ASSAULT,23,07/08/2012 01:54:00 PM,2012,7,Sunday,782230.82,2963294.84,PRINCETON ST,"(42.37848634, -71.03342957)"
58,120420272.0,LARCENY FROM MOTOR VEHICLE,102,07/08/2012 02:00:00 PM,2012,7,Sunday,774418.0128,2955399.966,PARK ST,"(42.35693634, -71.06249456)"
59,120420632.0,OTHER LARCENY,62,07/08/2012 02:00:00 PM,2012,7,Sunday,772316.1456,2959226.7189999996,SCIENCE PARK,"(42.36746634, -71.07019955)"
60,120421120.0,VANDALISM,344,07/08/2012 02:00:00 PM,2012,7,Sunday,772201.4742,2934681.494,WESTVILLE ST,"(42.30011498, -71.07108061)"
61,120419967.0,MedAssist,20,07/08/2012 02:00:00 PM,2012,7,Sunday,782536.3817,2962753.2,PARIS ST,"(42.37699549, -71.03230969)"
62,120421992.0,LARCENY FROM MOTOR VEHICLE,906,07/08/2012 02:00:00 PM,2012,7,Sunday,763478.9920000001,2944158.5510000004,HEATH ST,"(42.32623635, -71.10315955)"
63,120419737.0,FIRE,900,07/08/2012 02:00:00 PM,2012,7,Sunday,775606.1433,2963551.393,MEDFORD ST,"(42.37928715, -71.0579425)"
64,120419719.0,MedAssist,26,07/08/2012 02:06:00 PM,2012,7,Sunday,780373.844,2964179.434,BORDER ST,"(42.38094134, -71.04028457)"
65,120419502.0,Ballist,291,07/08/2012 02:12:00 PM,2012,7,Sunday,766454.1442,2945180.2210000004,MORLEY ST,"(42.32900135, -71.09213955)"
66,120419736.0,SIMPLE ASSAULT,351,07/08/2012 02:14:00 PM,2012,7,Sunday,775421.2319,2934394.115,SALISBURY PARK,"(42.29928135, -71.05918456)"
67,120419763.0,InvPer,170,07/08/2012 02:34:00 PM,2012,7,Sunday,770692.5881,2948491.651,WORCESTER ST,"(42.33803135, -71.07640455)"
68,120421191.0,LARCENY FROM MOTOR VEHICLE,24,07/08/2012 03:00:00 PM,2012,7,Sunday,780651.5658,2964035.159,MERIDIAN ST,"(42.38054134, -71.03925957)"
69,120421332.0,LARCENY FROM MOTOR VEHICLE,0,07/08/2012 03:00:00 PM,2012,7,Sunday,746627.4804,2921114.961,SALMAN ST,"(42.26320137, -71.16580953)"
70,120473465.0,FRAUD,445,07/08/2012 03:00:00 PM,2012,7,Sunday,769494.6555,2933941.5160000003,GLENWAY ST,"(42.29812136, -71.08109956)"
71,120429046.0,PropLost,525,07/08/2012 03:00:00 PM,2012,7,Sunday,757369.1604,2913152.458,TRUMAN PY,"(42.24122921, -71.12625579)"
72,120419893.0,PropLost,760,07/08/2012 03:00:00 PM,2012,7,Sunday,747845.8786,2952356.2819999997,WASHINGTON ST,"(42.34891635, -71.16084953)"
73,120421482.0,PropLost,512,07/08/2012 03:00:00 PM,2012,7,Sunday,759270.3839,2917072.4560000002,TRUMAN PY,"(42.25196296, -71.11916996)"
74,120419812.0,LARCENY FROM MOTOR VEHICLE,337,07/08/2012 03:05:00 PM,2012,7,Sunday,770865.578,2937352.012,COLUMBIA RD,"(42.30746136, -71.07596956)"
75,120419813.0,PubDrink,276,07/08/2012 03:10:00 PM,2012,7,Sunday,769000.3868,2945939.61,RUGGLES ST,"(42.33105135, -71.08270956)"
76,120419830.0,SIMPLE ASSAULT,256,07/08/2012 03:25:00 PM,2012,7,Sunday,780017.8828,2941154.74,MT VERNON ST,"(42.31776637, -71.04205955)"
77,120447485.0,MedAssist,226,07/08/2012 03:30:00 PM,2012,7,Sunday,780955.0161,2947652.0530000003,E BROADWAY,"(42.33558135, -71.03846457)"
78,120419840.0,MedAssist,264,07/08/2012 03:30:00 PM,2012,7,Sunday,770913.3282,2941891.165,GAYLAND ST,"(42.31991635, -71.07570956)"
79,120419977.0,SIMPLE ASSAULT,311,07/08/2012 03:35:00 PM,2012,7,Sunday,769377.4093,2941845.311,WOODBINE ST,"(42.31981136, -71.08138956)"
80,120419849.0,Argue,939,07/08/2012 03:45:00 PM,2012,7,Sunday,750337.2932,2955239.8310000002,N BEACON ST,"(42.35680135, -71.15158952)"
81,120425912.0,VANDALISM,135,07/08/2012 04:00:00 PM,2012,7,Sunday,769044.1485,2953846.0760000004,BEACON ST,"(42.35274635, -71.08240456)"
82,120419987.0,SIMPLE ASSAULT,329,07/08/2012 04:00:00 PM,2012,7,Sunday,769004.3297,2937945.957,BLUE HILL AV,"(42.30911635, -71.08283956)"
